subject,sessionIndex,rep,H.period,H.t,H.i,H.e,H.five,H.Shift.r,H.o,H.a,H.n,H.l,H.Return
s002,1,1,0.1491,0.1069,0.1169,0.1417,0.1146,0.1067,0.1016,0.1349,0.0932,0.1338,0.0742
s002,1,2,0.1111,0.0694,0.0908,0.0829,0.0689,0.157,0.1066,0.1412,0.1146,0.0839,0.0747
s002,1,3,0.1328,0.0731,0.0821,0.0808,0.0892,0.1454,0.1365,0.1621,0.1172,0.1085,0.0945
s002,1,4,0.1291,0.1059,0.104,0.09,0.0913,0.1454,0.0956,0.1457,0.0866,0.0845,0.0813
s002,1,5,0.1249,0.0895,0.0903,0.0805,0.0742,0.1243,0.043,0.1312,0.0884,0.0903,0.0818
s002,1,6,0.1394,0.0813,0.0744,0.0863,0.0942,0.1681,0.1154,0.1272,0.0858,0.0792,0.0591
s002,1,7,0.1064,0.0866,0.08,0.0789,0.0855,0.0948,0.1233,0.1318,0.0782,0.0879,0.089
s002,1,8,0.0929,0.0818,0.0747,0.0776,0.1373,0.1059,0.0903,0.1322,0.0821,0.1006,0.0679
s002,1,9,0.0966,0.0771,0.0839,0.0755,0.08,0.1027,0.1114,0.1262,0.0787,0.0882,0.0634
s002,1,10,0.1093,0.0731,0.0766,0.0813,0.0826,0.1156,0.1119,0.1463,0.1207,0.1204,0.0866
s002,1,11,0.0887,0.0876,0.0839,0.0692,0.0824,0.1278,0.0948,0.1682,0.0866,0.0927,0.0792
s002,1,12,0.0911,0.0824,0.0731,0.0832,0.0713,0.1193,0.1103,0.1465,0.0758,0.0742,0.0779
s002,1,13,0.1114,0.09,0.0797,0.0708,0.1051,0.1157,0.1164,0.1404,0.0942,0.1093,0.0489
s002,1,14,0.0903,0.0805,0.0842,0.0615,0.0887,0.1399,0.0961,0.1283,0.0734,0.1188,0.0318
s002,1,15,0.1169,0.0739,0.0892,0.0966,0.0826,0.1291,0.1317,0.1434,0.0869,0.1027,0.1301
s002,1,16,0.127,0.0911,0.0895,0.0739,0.0781,0.1305,0.1204,0.1338,0.0774,0.0942,0.0631
s002,1,17,0.1016,0.0792,0.076,0.0837,0.1159,0.1154,0.1,0.164,0.0914,0.1053,0.0771
s002,1,18,0.1056,0.0781,0.0898,0.0826,0.0718,0.131,0.0692,0.1262,0.0772,0.1169,0.081
s002,1,19,0.1177,0.0837,0.0919,0.0818,0.0932,0.1014,0.056,0.09,0.1162,0.0895,0.0874
s002,1,20,0.1027,0.0729,0.0792,0.0744,0.0919,0.1101,0.108,0.0898,0.1053,0.1299,0.0784
s002,1,21,0.1016,0.0861,0.0774,0.0747,0.0932,0.0919,0.0246,0.1396,0.0779,0.0903,0.0876
s002,1,22,0.1072,0.0726,0.0768,0.0747,0.0882,0.1112,0.0932,0.1259,0.0845,0.0927,0.0821
s002,1,23,0.1243,0.0768,0.085,0.0826,0.0686,0.1078,0.0792,0.1161,0.0679,0.1222,0.07
s002,1,24,0.1241,0.0829,0.0734,0.0787,0.0723,0.1206,0.0829,0.1307,0.0845,0.0813,0.0821
s002,1,25,0.1098,0.0768,0.0605,0.0755,0.0919,0.1257,0.0415,0.1584,0.1217,0.113,0.0921
s002,1,26,0.0916,0.0818,0.0721,0.0845,0.0718,0.1322,0.0774,0.0826,0.1103,0.1146,0.1077
s002,1,27,0.1272,0.0824,0.0776,0.0908,0.0805,0.1127,0.0655,0.1526,0.0869,0.1119,0.0594
s002,1,28,0.0874,0.0747,0.0758,0.0715,0.0824,0.104,0.0599,0.119,0.1014,0.1022,0.0879
s002,1,29,0.0948,0.076,0.0776,0.0787,0.08,0.1201,0.0993,0.161,0.0781,0.1066,0.0924
s002,1,30,0.1196,0.089,0.0742,0.085,0.0824,0.1196,0.0874,0.1444,0.0821,0.1209,0.1024
s002,1,31,0.0961,0.0929,0.0879,0.0694,0.0673,0.1006,0.0876,0.1415,0.0821,0.0971,0.0578
s002,1,32,0.1172,0.0737,0.0855,0.0708,0.0948,0.1299,0.1003,0.1325,0.0934,0.0805,0.0715
s002,1,33,0.1225,0.0755,0.0855,0.0737,0.0744,0.1183,0.0998,0.114,0.0784,0.0869,0.0591
s002,1,34,0.1022,0.0734,0.0789,0.0734,0.0747,0.0718,0.1032,0.1475,0.1209,0.1056,0.0541
s002,1,35,0.113,0.0882,0.0861,0.081,0.0781,0.1186,0.0884,0.1235,0.0924,0.0969,0.0731
s002,1,36,0.1185,0.0861,0.08,0.0655,0.0607,0.1128,0.0737,0.104,0.0808,0.1114,0.066
s002,1,37,0.1122,0.0855,0.0752,0.0628,0.0713,0.1172,0.0781,0.1169,0.1051,0.1014,0.1022
s002,1,38,0.1185,0.0858,0.0932,0.0763,0.0676,0.1128,0.0766,0.1307,0.0708,0.0974,0.0834
s002,1,39,0.1209,0.0816,0.0784,0.0837,0.0731,0.107,0.0821,0.1148,0.0964,0.0995,0.0731
