subject,sessionIndex,rep,DD.period.t,DD.t.i,DD.i.e,DD.e.five,DD.five.Shift.r,DD.Shift.r.o,DD.o.a,DD.a.n,DD.n.l,DD.l.Return
s002,1,1,0.3979,0.1674,0.2212,1.1885,1.6055,0.759,0.2136,0.1484,0.3515,0.3509
s002,1,2,0.3451,0.1283,0.1357,1.197,0.7822,0.7877,0.1684,0.2558,0.2642,0.2756
s002,1,3,0.2072,0.1291,0.1542,1.0408,0.6203,0.7195,0.2931,0.2332,0.2705,0.2847
s002,1,4,0.2515,0.2495,0.2038,1.0556,1.2564,0.755,0.153,0.1629,0.2341,0.3232
s002,1,5,0.2317,0.1676,0.1589,0.8629,0.8955,0.7632,0.1975,0.1582,0.2517,0.2517
s002,1,6,0.2343,0.1299,0.1412,0.9373,1.0896,0.3716,0.1287,0.1534,0.2528,0.2971
s002,1,7,0.2069,0.1368,0.1407,0.7967,1.2005,0.3083,0.14,0.1204,0.1999,0.2907
s002,1,8,0.181,0.1378,0.1367,0.6447,1.1876,0.3139,0.1152,0.104,0.2127,0.2776
s002,1,9,0.1797,0.1296,0.1425,0.7357,0.9406,0.2257,0.126,0.1403,0.2138,0.2868
s002,1,10,0.1807,0.1457,0.1241,0.755,0.8065,0.3117,0.1785,0.1162,0.2281,0.3187
s002,1,11,0.166,0.156,0.1386,0.6927,0.8135,0.3157,0.1746,0.0502,0.4062,0.2897
s002,1,12,0.1525,0.1516,0.1391,0.9155,0.7485,0.4426,0.2065,0.1492,0.2201,0.2599
s002,1,13,0.162,0.1547,0.1349,0.7028,1.0995,0.3474,0.1967,0.1581,0.3101,0.3008
s002,1,14,0.1871,0.1919,0.16,0.9165,0.764,0.3954,0.4337,0.1885,0.2827,0.3889
s002,1,15,0.2562,0.1549,0.1462,1.3501,1.0669,0.6546,0.2112,0.1083,0.2072,1.1307
s002,1,16,0.1839,0.1381,0.1774,0.6069,0.8047,0.202,0.1746,0.1521,0.1954,0.2643
s002,1,17,0.1799,0.1434,0.1412,0.8381,0.8525,0.3701,0.1531,0.1186,0.1954,0.2385
s002,1,18,0.1755,0.1391,0.1613,0.77,0.6947,0.486,0.1609,0.0697,0.1944,0.2976
s002,1,19,0.2237,0.188,0.1803,0.7784,0.5635,0.2954,0.216,0.0135,0.2526,0.6565
s002,1,20,0.1781,0.1418,0.1544,0.614,0.7332,0.2529,0.2297,0.3128,0.7067,0.3063
s002,1,21,0.1374,0.1629,0.1521,0.7165,0.5739,0.2503,0.3026,0.1624,0.2048,0.2485
s002,1,22,0.2217,0.1349,0.1716,0.7674,0.5554,0.2609,0.14,0.1373,0.2009,0.2654
s002,1,23,0.1841,0.1568,0.1539,0.8558,0.5318,0.2989,0.1566,0.1362,0.2666,0.4134
s002,1,24,0.2019,0.1745,0.131,0.8622,0.6002,0.2642,0.2875,0.1413,0.2505,0.3092
s002,1,25,0.1567,0.1642,0.1637,0.6326,0.7414,0.3506,0.3218,0.2044,0.5487,0.2942
s002,1,26,0.1691,0.1502,0.1463,1.1635,0.6878,0.4054,0.1931,0.4914,0.3359,0.2507
s002,1,27,0.195,0.1442,0.1526,0.6257,0.516,0.2146,0.2667,0.2033,0.7099,0.3221
s002,1,28,0.1726,0.1243,0.1492,0.6505,0.7831,0.2143,0.1117,0.1695,0.2537,0.4024
s002,1,29,0.1979,0.1412,0.1452,0.882,0.6593,0.36,0.1899,0.1716,0.2243,0.4588
s002,1,30,0.1356,0.1666,0.1178,0.6547,0.5063,0.26,0.1131,0.1872,0.351,0.2918
s002,1,31,0.2333,0.2233,0.2064,0.8109,0.4342,0.3471,0.1481,0.1629,0.2125,0.278
s002,1,32,0.1731,0.1323,0.151,1.0875,0.581,0.2453,0.1191,0.1756,0.2515,0.463
s002,1,33,0.2626,0.1328,0.1539,0.74,0.5133,0.2371,0.1727,0.1719,0.2146,0.2984
s002,1,34,0.2309,0.1362,0.1349,0.6495,0.8205,0.6014,0.1429,0.3365,0.3254,0.3082
s002,1,35,0.205,0.15,0.1582,0.8961,0.4104,0.2155,0.1075,0.2112,0.279,0.2583
s002,1,36,0.2013,0.141,0.1452,0.7917,0.8804,0.254,0.1041,0.1603,0.237,0.5364
s002,1,37,0.5953,0.1932,0.1626,0.7394,0.6696,0.2212,0.1497,0.2914,0.2671,0.2248
s002,1,38,0.1855,0.1399,0.1653,1.0794,0.4197,0.3221,0.1176,0.1759,0.2318,0.3044
s002,1,39,0.1868,0.1539,0.1478,0.6882,0.4072,0.1625,0.0996,0.2051,0.2925,0.2868
s002,1,40,0.2145,0.1452,0.1631,0.9099,0.5833,0.2458,0.1761,0.1895,0.2864,0.333
s002,1,41,0.2404,0.1475,0.1277,0.765,0.4604,0.1862,0.1041,0.173,0.2278,0.3063
s002,1,42,0.1396,0.1774,0.1801,1.0436,0.4608,0.1804,0.0985,0.1872,0.2428,0.2567
s002,1,43,0.2037,0.1523,0.1381,0.6217,0.4538,0.1906,0.0997,0.2316,0.2995,0.3052
s002,1,44,0.1947,0.1544,0.1396,1.0255,0.4373,0.7826,0.3331,0.2959,0.3012,0.3598
s002,1,45,0.3145,0.1797,0.2077,0.8822,0.4978,0.2803,0.1579,0.222,0.265,0.501
s002,1,46,0.1908,0.1407,0.1499,0.7869,0.4962,0.3281,0.1379,0.1719,0.2404,0.273
s002,1,47,0.1963,0.1827,0.1272,1.2738,0.7512,0.2751,0.2131,0.2563,0.2526,0.2873
s002,1,48,0.4995,0.1568,0.1811,0.6547,0.4289,0.2725,0.1394,0.1993,0.2164,0.291
