subject,sessionIndex,rep,UD.period.t,UD.t.i,UD.i.e,UD.e.five,UD.five.Shift.r,UD.Shift.r.o,UD.o.a,UD.a.n,UD.n.l,UD.l.Return
s002,1,1,0.2488,0.0605,0.1043,1.0468,1.4909,0.6523,0.112,0.0135,0.2583,0.2171
s002,1,2,0.234,0.0589,0.0449,1.1141,0.7133,0.6307,0.0618,0.1146,0.1496,0.1917
s002,1,3,0.0744,0.056,0.0721,0.96,0.5311,0.5741,0.1566,0.0711,0.1533,0.1762
s002,1,4,0.1224,0.1436,0.0998,0.9656,1.1651,0.6096,0.0574,0.0172,0.1475,0.2387
s002,1,5,0.1068,0.0781,0.0686,0.7824,0.8213,0.6389,0.1545,0.027,0.1633,0.1614
s002,1,6,0.0949,0.0486,0.0668,0.851,0.9954,0.2035,0.0133,0.0262,0.167,0.2179
s002,1,7,0.1005,0.0502,0.0607,0.7178,1.115,0.2135,0.0167,-0.0114,0.1217,0.2028
s002,1,8,0.0881,0.056,0.062,0.5671,1.0503,0.208,0.0249,-0.0282,0.1306,0.177
s002,1,9,0.0831,0.0525,0.0586,0.6602,0.8606,0.123,0.0146,0.0141,0.1351,0.1986
s002,1,10,0.0714,0.0726,0.0475,0.6737,0.7239,0.1961,0.0666,-0.0301,0.1074,0.1983
s002,1,11,0.0773,0.0684,0.0547,0.6235,0.7311,0.1879,0.0798,-0.118,0.3196,0.197
s002,1,12,0.0614,0.0692,0.066,0.8323,0.6772,0.3233,0.0962,0.0027,0.1443,0.1857
s002,1,13,0.0506,0.0647,0.0552,0.632,0.9944,0.2317,0.0803,0.0177,0.2159,0.1915
s002,1,14,0.0968,0.1114,0.0758,0.855,0.6753,0.2555,0.3376,0.0602,0.2093,0.2701
s002,1,15,0.1393,0.081,0.057,1.2535,0.9843,0.5255,0.0795,-0.0351,0.1203,1.028
s002,1,16,0.0569,0.047,0.0879,0.533,0.7266,0.0715,0.0542,0.0183,0.118,0.1701
s002,1,17,0.0783,0.0642,0.0652,0.7544,0.7366,0.2547,0.0531,-0.0454,0.104,0.1332
s002,1,18,0.0699,0.061,0.0715,0.6874,0.6229,0.355,0.0917,-0.0565,0.1172,0.1807
s002,1,19,0.106,0.1043,0.0884,0.6966,0.4703,0.194,0.16,-0.0765,0.1364,0.567
s002,1,20,0.0754,0.0689,0.0752,0.5396,0.6413,0.1428,0.1217,0.223,0.6014,0.1764
s002,1,21,0.0358,0.0768,0.0747,0.6418,0.4807,0.1584,0.278,0.0228,0.1269,0.1582
s002,1,22,0.1145,0.0623,0.0948,0.6927,0.4672,0.1497,0.0468,0.0114,0.1164,0.1727
s002,1,23,0.0598,0.08,0.0689,0.7732,0.4632,0.1911,0.0774,0.0201,0.1987,0.2912
s002,1,24,0.0778,0.0916,0.0576,0.7835,0.5279,0.1436,0.2046,0.0106,0.166,0.2279
s002,1,25,0.0469,0.0874,0.1032,0.5571,0.6495,0.2249,0.2803,0.046,0.427,0.1812
s002,1,26,0.0775,0.0684,0.0742,1.079,0.616,0.2732,0.1157,0.4088,0.2256,0.1361
s002,1,27,0.0678,0.0618,0.075,0.5349,0.4355,0.1019,0.2012,0.0507,0.623,0.2102
s002,1,28,0.0852,0.0496,0.0734,0.579,0.7007,0.1103,0.0518,0.0505,0.1523,0.3002
s002,1,29,0.1031,0.0652,0.0676,0.8033,0.5793,0.2399,0.0906,0.0106,0.1462,0.3522
s002,1,30,0.016,0.0776,0.0436,0.5697,0.4239,0.1404,0.0257,0.0428,0.2689,0.1709
s002,1,31,0.1372,0.1304,0.1185,0.7415,0.3669,0.2465,0.0605,0.0214,0.1304,0.1809
s002,1,32,0.0559,0.0586,0.0655,1.0167,0.4862,0.1154,0.0188,0.0431,0.1581,0.3825
s002,1,33,0.1401,0.0573,0.0684,0.6663,0.4389,0.1188,0.0729,0.0579,0.1362,0.2115
s002,1,34,0.1287,0.0628,0.056,0.5761,0.7458,0.5296,0.0397,0.189,0.2045,0.2026
s002,1,35,0.092,0.0618,0.0721,0.8151,0.3323,0.0969,0.0191,0.0877,0.1866,0.1614
s002,1,36,0.0828,0.0549,0.0652,0.7262,0.8197,0.1412,0.0304,0.0563,0.1562,0.425
s002,1,37,0.4831,0.1077,0.0874,0.6766,0.5983,0.104,0.0716,0.1745,0.162,0.1234
s002,1,38,0.067,0.0541,0.0721,1.0031,0.3521,0.2093,0.041,0.0452,0.161,0.207
s002,1,39,0.0659,0.0723,0.0694,0.6045,0.3341,0.0555,0.0175,0.0903,0.1961,0.1873
